well_id,component_1,concentration(nM).1,component_2,concentration(nM).2,component_3,concentration(nM).3,component_4,concentration(nM).4,component_5,concentration(nM).5,component_6,concentration(nM).6,component_7,concentration(nM).7,component_8,concentration(nM).8,component_9,concentration(nM).9
H1,puc19,43.506,m169,0.099,m168,0.099,m167,0.099,m166,0.099,m165,0.099,m164,0.099,m163,0.099,m162,4.773
G1,puc19,40.213,m169,0.099,m168,0.099,m167,0.099,m166,0.099,m165,0.099,m164,0.099,m163,0.099,m162,6.364
F1,puc19,36.920,m169,0.099,m168,0.099,m167,0.099,m166,0.099,m165,0.099,m164,0.099,m163,0.099,m162,7.955
E1,puc19,33.627,m169,0.099,m168,0.099,m167,0.099,m166,0.099,m165,0.099,m164,0.099,m163,0.099,m162,9.545
D1,puc19,30.333,m169,0.099,m168,0.099,m167,0.099,m166,0.099,m165,0.099,m164,0.099,m163,0.099,m162,11.136
C1,puc19,27.040,m169,0.099,m168,0.099,m167,0.099,m166,0.099,m165,0.099,m164,0.099,m163,0.099,m162,12.727
B1,puc19,20.454,m169,0.099,m168,0.099,m167,0.099,m166,0.099,m165,0.099,m164,0.099,m163,0.099,m162,15.909
A1,puc19,54.674,m169,0.000,m168,0.000,m167,0.000,m166,0.000,m165,0.000,m164,0.000,m163,0.000,m162,0.000
H2,puc19,42.218,m169,0.199,m168,0.199,m167,0.199,m166,0.199,m165,0.199,m164,0.199,m163,0.199,m162,4.773
G2,puc19,38.925,m169,0.199,m168,0.199,m167,0.199,m166,0.199,m165,0.199,m164,0.199,m163,0.199,m162,6.364
F2,puc19,35.632,m169,0.199,m168,0.199,m167,0.199,m166,0.199,m165,0.199,m164,0.199,m163,0.199,m162,7.955
E2,puc19,32.339,m169,0.199,m168,0.199,m167,0.199,m166,0.199,m165,0.199,m164,0.199,m163,0.199,m162,9.545
D2,puc19,29.046,m169,0.199,m168,0.199,m167,0.199,m166,0.199,m165,0.199,m164,0.199,m163,0.199,m162,11.136
C2,puc19,25.752,m169,0.199,m168,0.199,m167,0.199,m166,0.199,m165,0.199,m164,0.199,m163,0.199,m162,12.727
B2,puc19,19.166,m169,0.199,m168,0.199,m167,0.199,m166,0.199,m165,0.199,m164,0.199,m163,0.199,m162,15.909
A2,puc19,19.672,m169,0.795,m168,0.795,m167,0.795,m166,0.795,m165,0.795,m164,0.795,m163,0.795,m162,11.932
H3,puc19,39.643,m169,0.398,m168,0.398,m167,0.398,m166,0.398,m165,0.398,m164,0.398,m163,0.398,m162,4.773
G3,puc19,36.349,m169,0.398,m168,0.398,m167,0.398,m166,0.398,m165,0.398,m164,0.398,m163,0.398,m162,6.364
F3,puc19,33.056,m169,0.398,m168,0.398,m167,0.398,m166,0.398,m165,0.398,m164,0.398,m163,0.398,m162,7.955
E3,puc19,29.763,m169,0.398,m168,0.398,m167,0.398,m166,0.398,m165,0.398,m164,0.398,m163,0.398,m162,9.545
D3,puc19,26.470,m169,0.398,m168,0.398,m167,0.398,m166,0.398,m165,0.398,m164,0.398,m163,0.398,m162,11.136
C3,puc19,23.177,m169,0.398,m168,0.398,m167,0.398,m166,0.398,m165,0.398,m164,0.398,m163,0.398,m162,12.727
B3,puc19,16.590,m169,0.398,m168,0.398,m167,0.398,m166,0.398,m165,0.398,m164,0.398,m163,0.398,m162,15.909
A3,puc19,54.674,m169,0.000,m168,0.000,m167,0.000,m166,0.000,m165,0.000,m164,0.000,m163,0.000,m162,0.000
H4,puc19,34.491,m169,0.795,m168,0.795,m167,0.795,m166,0.795,m165,0.795,m164,0.795,m163,0.795,m162,4.773
G4,puc19,31.198,m169,0.795,m168,0.795,m167,0.795,m166,0.795,m165,0.795,m164,0.795,m163,0.795,m162,6.364
F4,puc19,27.905,m169,0.795,m168,0.795,m167,0.795,m166,0.795,m165,0.795,m164,0.795,m163,0.795,m162,7.955
E4,puc19,24.612,m169,0.795,m168,0.795,m167,0.795,m166,0.795,m165,0.795,m164,0.795,m163,0.795,m162,9.545
D4,puc19,21.318,m169,0.795,m168,0.795,m167,0.795,m166,0.795,m165,0.795,m164,0.795,m163,0.795,m162,11.136
C4,puc19,18.025,m169,0.795,m168,0.795,m167,0.795,m166,0.795,m165,0.795,m164,0.795,m163,0.795,m162,12.727
B4,puc19,11.439,m169,0.795,m168,0.795,m167,0.795,m166,0.795,m165,0.795,m164,0.795,m163,0.795,m162,15.909
A4,puc19,19.672,m169,0.795,m168,0.795,m167,0.795,m166,0.795,m165,0.795,m164,0.795,m163,0.795,m162,11.932
