Location,Name,Concentration,Length,Units
A1,m162,107.08,0,nM
C1,m163,15.07,0,nM
E1,m164,16.21,0,nM
G1,m165,15.04,0,nM
I1,m166,15.91,0,nM
K1,m167,14.74,0,nM
M1,m168,16.29,0,nM
O1,m169,15.24,0,nM
B2,puc19,116.22,0,nM
B22,water,1,0,x
A2,m162,107.08,0,nM
C2,m163,15.07,0,nM
E2,m164,16.21,0,nM
G2,m165,15.04,0,nM
I2,m166,15.91,0,nM
K2,m167,14.74,0,nM
M2,m168,16.29,0,nM
O2,m169,15.24,0,nM
B24,water,1,0,x
D22,water,1,0,x
D24,water,1,0,x
F22,water,1,0,x
F24,water,1,0,x
H22,water,1,0,x
H24,water,1,0,x
J22,water,1,0,x
J24,water,1,0,x
L22,water,1,0,x
A3,m162,107.08,0,nM
A5,m162,107.08,0,nM
B4,puc19,116.22,0,nM
D2,puc19,116.22,0,nM
D4,puc19,116.22,0,nM
F2,puc19,116.22,0,nM
F4,puc19,116.22,0,nM
